"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","8/801","83/8541",0.522549145223566,0.822531061925984,0.626447805677374,"10336/26053/26147/84333/1387/8535/91133/83746",8
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","10/801","105/8541",0.528755472232492,0.827389544979796,0.630148074504736,"4790/5588/23085/8600/7187/5336/8792/596/3929/29775",10
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","15/801","159/8541",0.530738085050783,0.827389544979796,0.630148074504736,"114548/25978/8743/5602/817/8795/90865/55506/2746/823/255189/6774/79643/596/5834",15
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","20/801","213/8541",0.532936206913457,0.827389544979796,0.630148074504736,"110117499/919/2786/3708/5602/5530/4790/7097/836/340061/6891/2792/54331/5336/5578/596/4772/2788/4773/5594",20
"hsa00531","Metabolism","Glycan biosynthesis and metabolism","hsa00531","Glycosaminoglycan degradation","2/801","19/8541",0.543549296880432,0.837757958522633,0.638044760980086,"6677/60495",2
"hsa03440","Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","4/801","41/8541",0.544542673039711,0.837757958522633,0.638044760980086,"9577/7979/5890/5932",4
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","22/801","238/8541",0.56228126516561,0.859691061467257,0.654749229476611,"6146/110117499/114548/185/5602/4790/7097/730/340061/2162/1956/8829/6157/7450/7187/5336/6774/5578/6203/4600/7113/5594",22
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","4/801","42/8541",0.564138404486406,0.859691061467257,0.654749229476611,"23498/316/6999/55526",4
"hsa00630","Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","3/801","31/8541",0.566418197981836,0.859691061467257,0.654749229476611,"84693/5096/54363",3
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","15/801","163/8541",0.571027461680613,0.859691061467257,0.654749229476611,"110117499/7048/5602/4790/7097/836/1871/7187/1387/6774/5578/596/4772/4773/5594",15
"hsa00785","Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","2/801","20/8541",0.571975320310071,0.859691061467257,0.654749229476611,"11019/55526",2
